nameProject,testCase,tloc,tmcCabe,assertionDensity,assertionRoulette,mysteryGuest,eagerTest,sensitiveEquality,resourceOptimism,conditionalTestLogic,fireAndForget,testRunWar,loc,lcom2,lcom5,cbo,wmc,rfc,mpc,halsteadVocabulary,halsteadLength,halsteadVolume,classDataShouldBePrivate,complexClass,functionalDecompositiongodClass,spaghettiCode,isFlaky,functionalDecomposition,godClass
activiti_b11f757a,org.activiti.runtime.api.model.impl.APITaskCandidateUserConverterTest.fromShouldConvertEngineObjectToModelObject,9.0,1.0,0.2222222222222222,1.0,0.0,1,0.0,0,0.0,0.0,0.0,29.0,0.0,0.0,2.0,2.0,3.0,2.0,24.0,18.0,57.20496894626302,0,0,,0.0,0,1.0,0.0
activiti_b11f757a,org.activiti.runtime.api.model.impl.APITaskConverterTest.convertFromTaskShouldSetAllFieldsInTheConvertedTask,5.0,1.0,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0.0,53.0,1.0,0.0,2.0,7.0,30.0,28.0,148.0,53.0,264.8522505094981,0,0,,0.0,0,2.0,0.0
activiti_b11f757a,org.activiti.runtime.api.model.impl.APITaskConverterTest.calculateStatusForACancelledTaskShouldReturnCancelled,3.0,1.0,0.0,1.0,0.0,1,0.0,0,0.0,0.0,0.0,53.0,1.0,0.0,2.0,7.0,30.0,28.0,148.0,53.0,264.8522505094981,0,0,,0.0,0,2.0,0.0
activiti_b11f757a,org.activiti.runtime.api.model.impl.APITaskConverterTest.calculateStatusForASuspendedTaskShouldReturnSuspended,3.0,1.0,0.0,1.0,0.0,1,0.0,0,0.0,0.0,0.0,53.0,1.0,0.0,2.0,7.0,30.0,28.0,148.0,53.0,264.8522505094981,0,0,,0.0,0,2.0,0.0
activiti_b11f757a,org.activiti.runtime.api.model.impl.APITaskConverterTest.calculateStatusForAnAssignedTaskShouldReturnAssigned,3.0,1.0,0.0,0.0,0.0,1,0.0,0,0.0,0.0,0.0,53.0,1.0,0.0,2.0,7.0,30.0,28.0,148.0,53.0,264.8522505094981,0,0,,0.0,0,2.0,0.0
activiti_b11f757a,org.activiti.runtime.api.model.impl.APITaskConverterTest.calculateStatusCreatedAndNotAssignedTaskShouldReturnCreated,3.0,1.0,0.0,1.0,0.0,1,0.0,0,0.0,0.0,0.0,53.0,1.0,0.0,2.0,7.0,30.0,28.0,148.0,53.0,264.8522505094981,0,0,,0.0,0,2.0,0.0
activiti_b11f757a,org.activiti.runtime.api.model.impl.APITaskCandidateGroupConverterTest.fromShouldConvertEngineObjectToModelObject,9.0,1.0,0.2222222222222222,1.0,0.0,1,0.0,0,0.0,0.0,0.0,29.0,0.0,0.0,2.0,2.0,3.0,2.0,24.0,18.0,57.20496894626302,0,0,,0.0,0,1.0,0.0
activiti_b11f757a,org.activiti.runtime.api.connector.DefaultServiceTaskBehaviorTest.hasConnectorBeanShouldReturnTrueIfABeanOfConnectorTypeIsFound,8.0,1.0,0.0,1.0,0.0,1,0.0,0,0.0,0.0,0.0,58.0,0.0,2.0,6.0,7.0,16.0,12.0,104.0,45.0,208.99759046136177,0,0,,0.0,0,0.0,0.0
activiti_b11f757a,org.activiti.runtime.api.connector.DefaultServiceTaskBehaviorTest.hasConnectorBeanShouldReturnFalseIfNoBeanIsFoundWithTheGivenName,7.0,1.0,0.0,1.0,0.0,1,0.0,0,0.0,0.0,0.0,58.0,0.0,2.0,6.0,7.0,16.0,12.0,104.0,45.0,208.99759046136177,0,0,,0.0,0,0.0,0.0
activiti_b11f757a,org.activiti.runtime.api.connector.DefaultServiceTaskBehaviorTest.hasConnectorBeanShouldReturnFalseIfABeanOfDifferentTypeIsFound,9.0,2.0,0.0,1.0,0.0,1,0.0,0,1.0,0.0,0.0,58.0,0.0,2.0,6.0,7.0,16.0,12.0,104.0,45.0,208.99759046136177,0,0,,0.0,0,0.0,0.0
activiti_b11f757a,org.activiti.runtime.api.impl.TaskRuntimeImplTest.updateShouldThrowExceptionWhenAssigneeIsNotSet,6.0,3.0,0.0,0.0,0.0,2,0.0,0,0.0,0.0,0.0,331.0,0.0,1.0,28.0,69.0,143.0,129.0,1440.0,272.0,1978.0923627790528,0,0,,0.0,0,0.0,0.0
activiti_b11f757a,org.activiti.runtime.api.impl.TaskRuntimeImplTest.updateShouldBeAbleToUpdateDescriptionOnly,14.0,2.0,0.0,0.0,0.0,2,0.0,0,2.0,0.0,0.0,331.0,0.0,1.0,28.0,69.0,143.0,129.0,1440.0,272.0,1978.0923627790528,0,0,,0.0,0,0.0,0.0
activiti_b11f757a,org.activiti.editor.language.SubProcessTest.doubleConversionValidation,6.0,2.0,0.0,0.0,1.0,0,0.0,0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,13.621371043387192,0,0,,0.0,0,0.0,0.0
