"nameProject","testCase","tloc","tmcCabe","assertionDensity","assertionRoulette","mysteryGuest","eagerTest","sensitiveEquality","resourceOptimism","conditionalTestLogic","fireAndForget","testRunWar","loc","lcom2","lcom5","cbo","wmc","rfc","mpc","halsteadVocabulary","halsteadLength","halsteadVolume","classDataShouldBePrivate","complexClass","functionalDecompositiongodClass","spaghettiCode","isFlaky","functionalDecomposition","godClass"
"activiti_b11f757a","org.activiti.runtime.api.model.impl.APITaskCandidateUserConverterTest.fromShouldConvertEngineObjectToModelObject",9,1,0.222222222222222,1,0,1,0,0,0,0,0,29,0,0,2,2,3,2,24,18,57.204968946263,0,0,NA,0,0,1,0
"activiti_b11f757a","org.activiti.runtime.api.model.impl.APITaskConverterTest.convertFromTaskShouldSetAllFieldsInTheConvertedTask",5,1,0,0,0,1,0,0,0,0,0,53,1,0,2,7,30,28,148,53,264.852250509498,0,0,NA,0,0,2,0
"activiti_b11f757a","org.activiti.runtime.api.model.impl.APITaskConverterTest.calculateStatusForACancelledTaskShouldReturnCancelled",3,1,0,1,0,1,0,0,0,0,0,53,1,0,2,7,30,28,148,53,264.852250509498,0,0,NA,0,0,2,0
"activiti_b11f757a","org.activiti.runtime.api.model.impl.APITaskConverterTest.calculateStatusForASuspendedTaskShouldReturnSuspended",3,1,0,1,0,1,0,0,0,0,0,53,1,0,2,7,30,28,148,53,264.852250509498,0,0,NA,0,0,2,0
"activiti_b11f757a","org.activiti.runtime.api.model.impl.APITaskConverterTest.calculateStatusForAnAssignedTaskShouldReturnAssigned",3,1,0,0,0,1,0,0,0,0,0,53,1,0,2,7,30,28,148,53,264.852250509498,0,0,NA,0,0,2,0
"activiti_b11f757a","org.activiti.runtime.api.model.impl.APITaskConverterTest.calculateStatusCreatedAndNotAssignedTaskShouldReturnCreated",3,1,0,1,0,1,0,0,0,0,0,53,1,0,2,7,30,28,148,53,264.852250509498,0,0,NA,0,0,2,0
"activiti_b11f757a","org.activiti.runtime.api.model.impl.APITaskCandidateGroupConverterTest.fromShouldConvertEngineObjectToModelObject",9,1,0.222222222222222,1,0,1,0,0,0,0,0,29,0,0,2,2,3,2,24,18,57.204968946263,0,0,NA,0,0,1,0
"activiti_b11f757a","org.activiti.runtime.api.connector.DefaultServiceTaskBehaviorTest.hasConnectorBeanShouldReturnTrueIfABeanOfConnectorTypeIsFound",8,1,0,1,0,1,0,0,0,0,0,58,0,2,6,7,16,12,104,45,208.997590461362,0,0,NA,0,0,0,0
"activiti_b11f757a","org.activiti.runtime.api.connector.DefaultServiceTaskBehaviorTest.hasConnectorBeanShouldReturnFalseIfNoBeanIsFoundWithTheGivenName",7,1,0,1,0,1,0,0,0,0,0,58,0,2,6,7,16,12,104,45,208.997590461362,0,0,NA,0,0,0,0
"activiti_b11f757a","org.activiti.runtime.api.connector.DefaultServiceTaskBehaviorTest.hasConnectorBeanShouldReturnFalseIfABeanOfDifferentTypeIsFound",9,2,0,1,0,1,0,0,1,0,0,58,0,2,6,7,16,12,104,45,208.997590461362,0,0,NA,0,0,0,0
"activiti_b11f757a","org.activiti.runtime.api.impl.TaskRuntimeImplTest.updateShouldThrowExceptionWhenAssigneeIsNotSet",6,3,0,0,0,2,0,0,0,0,0,331,0,1,28,69,143,129,1440,272,1978.09236277905,0,0,NA,0,0,0,0
"activiti_b11f757a","org.activiti.runtime.api.impl.TaskRuntimeImplTest.updateShouldBeAbleToUpdateDescriptionOnly",14,2,0,0,0,2,0,0,2,0,0,331,0,1,28,69,143,129,1440,272,1978.09236277905,0,0,NA,0,0,0,0
"activiti_b11f757a","org.activiti.editor.language.SubProcessTest.doubleConversionValidation",6,2,0,0,1,0,0,0,0,0,0,17,0,0,0,0,0,0,7,7,13.6213710433872,0,0,NA,0,0,0,0
"activiti_b11f757a","org.activiti.spring.security.policies.SecurityPoliciesProcessInstanceRestrictionApplierTest.restrictToKeysAddFilterOnGivenKeys",5,1,0,1,0,1,0,0,0,0,0,44,3,0,5,6,13,10,48,23,89.0376232508815,0,0,NA,0,0,0,0
"activiti_b11f757a","org.activiti.spring.security.policies.SecurityPoliciesProcessInstanceRestrictionApplierTest.denyAllShouldAddUnmatchableFilter",5,1,0.2,1,0,1,0,0,0,0,0,44,3,0,5,6,13,10,48,23,89.0376232508815,0,0,NA,0,0,0,0
"activiti_b11f757a","org.activiti.spring.security.policies.SecurityPoliciesProcessDefinitionRestrictionApplierTest.restrictToKeysAddFilterOnGivenKeys",5,1,0,1,0,1,0,0,0,0,0,44,3,0,5,6,13,10,48,23,89.0376232508815,0,0,NA,0,0,0,0
"activiti_b11f757a","org.activiti.spring.security.policies.SecurityPoliciesProcessDefinitionRestrictionApplierTest.denyAllShouldAddUnmatchableFilter",5,1,0.2,1,0,1,0,0,0,0,0,44,3,0,5,6,13,10,48,23,89.0376232508815,0,0,NA,0,0,0,0
"activiti_b11f757a","org.activiti.spring.test.autodeployment.DefaultAutoDeploymentStrategyTest.testHandlesMode",5,1,0.4,2,0,0,0,0,0,0,0,55,1,0,3,4,8,6,123,68,327.228536165324,0,0,NA,0,0,0,0
"activiti_b11f757a","org.activiti.spring.test.autodeployment.DefaultAutoDeploymentStrategyTest.testDeployResources",13,2,0,0,0,1,0,0,9,0,0,55,1,0,3,4,8,6,123,68,327.228536165324,0,0,NA,0,0,0,0
"activiti_b11f757a","org.activiti.spring.test.autodeployment.DefaultAutoDeploymentStrategyTest.testDeployResourcesNoResources",11,2,0,0,0,1,0,0,7,0,0,55,1,0,3,4,8,6,123,68,327.228536165324,0,0,NA,0,0,0,0
"activiti_b11f757a","org.activiti.spring.test.autodeployment.DefaultAutoDeploymentStrategyTest.testDetermineResourceNameWithExceptionFailsGracefully",6,2,0,0,2,1,0,0,0,0,0,55,1,0,3,4,8,6,123,68,327.228536165324,0,0,NA,0,0,0,0
"activiti_b11f757a","org.activiti.spring.test.autodeployment.SingleResourceAutoDeploymentStrategyTest.testHandlesMode",5,1,0.4,2,0,0,0,0,0,0,0,55,1,0,3,4,8,6,118,58,276.699708219009,0,0,NA,0,0,0,0
"activiti_b11f757a","org.activiti.spring.test.autodeployment.SingleResourceAutoDeploymentStrategyTest.testDeployResources",17,2,0,0,0,1,0,0,13,0,0,55,1,0,3,4,8,6,118,58,276.699708219009,0,0,NA,0,0,0,0
"activiti_b11f757a","org.activiti.spring.test.autodeployment.SingleResourceAutoDeploymentStrategyTest.testDeployResourcesNoResources",11,2,0,0,0,1,0,0,7,0,0,55,1,0,3,4,8,6,118,58,276.699708219009,0,0,NA,0,0,0,0
"activiti_b11f757a","org.activiti.spring.test.autodeployment.ResourceParentFolderAutoDeploymentStrategyTest.testHandlesMode",5,1,0.4,2,0,0,0,0,0,0,0,104,15,5,9,19,30,24,387,124,738.844661935693,0,0,NA,0,0,0,0
"activiti_b11f757a","org.activiti.spring.test.autodeployment.ResourceParentFolderAutoDeploymentStrategyTest.testDeployResources_Separate",13,2,0,0,6,1,0,0,7,0,0,104,15,5,9,19,30,24,387,124,738.844661935693,0,0,NA,0,0,0,0
"activiti_b11f757a","org.activiti.spring.test.autodeployment.ResourceParentFolderAutoDeploymentStrategyTest.testDeployResources_Joined",12,2,0,0,5,1,0,0,6,0,0,104,15,5,9,19,30,24,387,124,738.844661935693,0,0,NA,0,0,0,0
"activiti_b11f757a","org.activiti.spring.test.autodeployment.ResourceParentFolderAutoDeploymentStrategyTest.testDeployResources_AllInOne",18,2,0,0,11,1,0,0,9,0,0,104,15,5,9,19,30,24,387,124,738.844661935693,0,0,NA,0,0,0,0
