Project URL;SHA Detected;Fully-Qualified Test Name (packageName.ClassName.methodName)
https://github.com/abel533/Mapper;1764748eedb2f320a0d1c43cb4f928c4ccb1f2f5;tk.mybatis.mapper.annotation.IdTest.testCompositeKeys
https://github.com/abel533/Mapper;1764748eedb2f320a0d1c43cb4f928c4ccb1f2f5;tk.mybatis.mapper.mapperhelper.ComplexEntityTest.test
https://github.com/abel533/Mapper;1764748eedb2f320a0d1c43cb4f928c4ccb1f2f5;tk.mybatis.mapper.mapperhelper.FieldHelperTest.testComplex
https://github.com/abel533/Mapper;1764748eedb2f320a0d1c43cb4f928c4ccb1f2f5;tk.mybatis.mapper.mapperhelper.FieldHelperTest.testUser
https://github.com/abel533/Mapper;1764748eedb2f320a0d1c43cb4f928c4ccb1f2f5;tk.mybatis.mapper.mapperhelper.SqlHelperTest.testLogicDeleteSql
https://github.com/abel533/Mapper;3c0b3307011fad53f811e08d05147d94fc6c0d67;tk.mybatis.mapper.test.able.TestBasicAble.testInsert
https://github.com/abel533/Mapper;3c0b3307011fad53f811e08d05147d94fc6c0d67;tk.mybatis.mapper.test.country.TestDeleteByPrimaryKey.testDynamicDelete
https://github.com/abel533/Mapper;3c0b3307011fad53f811e08d05147d94fc6c0d67;tk.mybatis.mapper.test.country.TestDeleteByPrimaryKey.testDynamicDeleteEntity
https://github.com/abel533/Mapper;3c0b3307011fad53f811e08d05147d94fc6c0d67;tk.mybatis.mapper.test.country.TestDeleteByPrimaryKey.testDynamicDeleteException
https://github.com/abel533/Mapper;3c0b3307011fad53f811e08d05147d94fc6c0d67;tk.mybatis.mapper.test.country.TestDeleteByPrimaryKey.testDynamicDeleteMap
https://github.com/abel533/Mapper;3c0b3307011fad53f811e08d05147d94fc6c0d67;tk.mybatis.mapper.test.country.TestExistsWithPrimaryKey.testDynamicExistsWithPrimaryKey
https://github.com/abel533/Mapper;3c0b3307011fad53f811e08d05147d94fc6c0d67;tk.mybatis.mapper.test.country.TestInsert.testDynamicInsert
https://github.com/abel533/Mapper;3c0b3307011fad53f811e08d05147d94fc6c0d67;tk.mybatis.mapper.test.country.TestInsertSelective.testDynamicInsertSelective
https://github.com/abel533/Mapper;3c0b3307011fad53f811e08d05147d94fc6c0d67;tk.mybatis.mapper.test.country.TestInsertSelective.testDynamicInsertSelectiveNull
https://github.com/abel533/Mapper;3c0b3307011fad53f811e08d05147d94fc6c0d67;tk.mybatis.mapper.test.country.TestSelect.testAllColumns
https://github.com/abel533/Mapper;3c0b3307011fad53f811e08d05147d94fc6c0d67;tk.mybatis.mapper.test.country.TestSelect.testDynamicSelect
https://github.com/abel533/Mapper;3c0b3307011fad53f811e08d05147d94fc6c0d67;tk.mybatis.mapper.test.country.TestSelect.testDynamicSelectAll
https://github.com/abel533/Mapper;3c0b3307011fad53f811e08d05147d94fc6c0d67;tk.mybatis.mapper.test.country.TestSelect.testDynamicSelectNotFoundKeyProperties
https://github.com/abel533/Mapper;3c0b3307011fad53f811e08d05147d94fc6c0d67;tk.mybatis.mapper.test.country.TestSelect.testDynamicSelectPage
https://github.com/abel533/Mapper;3c0b3307011fad53f811e08d05147d94fc6c0d67;tk.mybatis.mapper.test.country.TestSelectAll.testDynamicSelectPage
https://github.com/abel533/Mapper;3c0b3307011fad53f811e08d05147d94fc6c0d67;tk.mybatis.mapper.test.country.TestSelectAll.testDynamicSelectPage2
https://github.com/abel533/Mapper;3c0b3307011fad53f811e08d05147d94fc6c0d67;tk.mybatis.mapper.test.country.TestSelectByPrimaryKey.testDynamicSelectByPrimaryKey
https://github.com/abel533/Mapper;3c0b3307011fad53f811e08d05147d94fc6c0d67;tk.mybatis.mapper.test.country.TestSelectByPrimaryKey.testDynamicSelectByPrimaryKey2
https://github.com/abel533/Mapper;3c0b3307011fad53f811e08d05147d94fc6c0d67;tk.mybatis.mapper.test.country.TestSelectByPrimaryKey.testSelectByPrimaryKeyMap
https://github.com/abel533/Mapper;3c0b3307011fad53f811e08d05147d94fc6c0d67;tk.mybatis.mapper.test.country.TestSelectCount.testDynamicSelect
